Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present,exclusion_reasons
dynamixel-workbench-msgs,ROBOTIS-GIT,Message package for dynamixel-workbench,https://github.com/ROBOTIS-GIT/dynamixel-workbench-msgs,79,18,39,0,dynamixel;dynamixels-workbench;dynamixelsdk;gui;package;robot;robotis;ros,Apache-2.0,True,True,False,False,False,False,,4,73,2017-06-07T12:06:12Z,22,761,0,docs,Organization,79,10,18,CMake,ROBOTIS-GIT/dynamixel-workbench-msgs,humble|jazzy|kilted,inactive_6mo
eigen3_cmake_module,ros2,Adds a custom find module for Eigen3,https://github.com/ros2/eigen3_cmake_module,26,16,3,1,,Apache-2.0,True,True,False,False,False,True,good first issue,9,22,2019-07-24T23:21:27Z,1,2,0,docs,Organization,26,17,16,CMake,ros2/eigen3_cmake_module,humble|jazzy|kilted,inactive_6mo
eigen_stl_containers,ros,,https://github.com/ros/eigen_stl_containers,22,6,13,3,,,False,False,False,False,False,False,,8,40,2012-08-12T22:17:16Z,3,86,0,docs,Organization,22,14,6,C++;C;CMake,ros/eigen_stl_containers,humble|jazzy|kilted,inactive_6mo
ess_imu_driver2,cubicleguy,Latest ROS2 Linux driver package for EPSON IMU using UART or SPI interface (includes C driver),https://github.com/cubicleguy/ess_imu_driver2,40922,0,1,1,,Other,True,False,False,False,False,True,good first issue,1,21,2023-11-29T23:51:01Z,1,1,0,docs,User,40922,1,0,C;C++;Python;CMake;Makefile,cubicleguy/ess_imu_driver2,humble|jazzy,inactive_6mo
example_interfaces,ros2,"Msg, Srv, etc. ROS interfaces used in examples",https://github.com/ros2/example_interfaces,56,78,31,0,,Apache-2.0,True,True,False,False,False,True,good first issue,18,78,2015-06-18T02:44:14Z,3,39,0,docs,Organization,56,24,78,CMake,ros2/example_interfaces,humble|jazzy|kilted,inactive_6mo
extrinsic_calibrator,Ikerlan-KER,ROS2 package designed to extrinsically calibrate a set of cameras distributed throughout a room.,https://github.com/Ikerlan-KER/extrinsic_calibrator,134,38,8,1,,Other,True,False,False,False,False,True,good first issue,3,48,2024-10-15T10:53:34Z,2,203,0,docs,Organization,134,0,38,Python;CMake,Ikerlan-KER/extrinsic_calibrator,humble,inactive_6mo
fast_gicp,SMRT-AIST,A collection of GICP-based fast point cloud registration algorithms,https://github.com/koide3/fast_gicp,6675,1582,361,76,cpp;cuda;gicp;gpu;icp;multithreading;pcl;point-cloud;python;registration;scan-matching;vgicp,BSD-3-Clause,True,False,False,False,False,True,good first issue,16,168,2020-01-04T13:22:39Z,26,1678,0,docs,,6675,33,1582,C++;Cuda;Dockerfile;Python;CMake;Shell,koide3/fast_gicp,humble,inactive_6mo
ffmpeg_image_transport_tools,ros-misc-utilities,tools for processing ffmpeg_image_transport_msgs,https://github.com/ros-misc-utilities/ffmpeg_image_transport_tools,91,7,4,2,,Apache-2.0,True,True,False,False,False,True,good first issue,1,31,2024-03-10T16:18:31Z,10,623,0,config,Organization,91,1,7,C++;CMake;Python,ros-misc-utilities/ffmpeg_image_transport_tools,humble|jazzy|kilted,inactive_6mo
filters,ros,This library provides a standardized interface for processing data as a sequence  of filters.  This package contains a base class upon which to build specific implementations as well as an interface which dynamically loads filters based on runtime parameters.  ,https://github.com/ros/filters,180,43,55,11,,,True,False,False,False,False,False,,21,181,2009-09-04T23:10:08Z,29,3274,0,docs,Organization,180,12,43,C++;C;CMake,ros/filters,humble|jazzy|kilted,inactive_6mo
find-object,introlab,Find-Object project,https://github.com/introlab/find-object,35232,474,190,77,,BSD-3-Clause,True,False,False,False,False,False,,7,381,2011-10-25T15:48:19Z,27,3366,0,docs,Organization,35232,31,474,C++;CMake;C;Python,introlab/find-object,humble|jazzy|kilted,inactive_6mo
flex_sync,ros-misc-utilities,ros package for message time synchronization with variable number of topics,https://github.com/ros-misc-utilities/flex_sync,63,26,3,1,,Apache-2.0,True,True,False,False,False,True,good first issue,1,13,2024-03-19T12:12:07Z,16,2491,0,config,Organization,63,3,26,C++;CMake,ros-misc-utilities/flex_sync,humble|jazzy|kilted,inactive_6mo
flexbe_app,flexbe,The classic user interface (editor + runtime control) for the FlexBE behavior engine.  See the flexbe_webui for latest,https://github.com/FlexBE/flexbe_app,61239,51,51,29,behavior;flexbe;gui;robotics;ros;statemachine,BSD-3-Clause,True,False,False,False,False,False,,8,160,2017-01-11T19:42:23Z,2,31,0,docs,Organization,61239,5,51,JavaScript;HTML;CSS;Shell;CMake,FlexBE/flexbe_app,humble,inactive_6mo
fluent_bit_vendor,minipada,,https://github.com/Minipada/fluent_bit_vendor,14,1,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,5,2023-05-16T17:22:30Z,6,564,0,docs,User,14,1,1,CMake,Minipada/fluent_bit_vendor,humble,inactive_6mo
FluentRviz,ForteFibre,A library which makes Rviz fluent. Powered by C++17.,https://github.com/ForteFibre/FluentRviz,315,5,0,1,,Apache-2.0,True,True,False,False,False,True,good first issue,2,251,2021-01-16T20:39:58Z,3,686,0,docs,Organization,315,1,5,C++,ForteFibre/FluentRviz,humble|jazzy|kilted,inactive_6mo
fmilibrary_vendor,boschresearch,"Vendor ROS package for the FMILibrary by Modelon AB, cf. https://jmodelica.org/",https://github.com/boschresearch/fmilibrary_vendor,34,3,1,0,fmi;keep;robotics;ros,,True,False,False,False,False,True,good first issue,2,54,2019-04-16T19:19:48Z,1,3,0,docs,Organization,34,5,3,CMake,boschresearch/fmilibrary_vendor,humble|jazzy|kilted,inactive_6mo
four_wheel_steering_msgs,ros-drivers,ROS messages for steering vehicles using front and rear wheels,https://github.com/ros-drivers/four_wheel_steering_msgs,11,12,8,0,,,True,False,False,False,False,False,,3,10,2017-04-24T12:07:41Z,6,108,0,docs,Organization,11,6,12,CMake,ros-drivers/four_wheel_steering_msgs,humble|jazzy|kilted,inactive_6mo
gazebo_no_physics_plugin,Boeing,Gazebo plugin to disable physics. Allows for direct simulation of sensors and model link positions without physics updates.,https://github.com/Boeing/gazebo_no_physics_plugin,20,1,0,2,ros;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,4,16,2022-11-11T08:51:24Z,1,92,0,docs,Organization,20,3,1,CMake;C++,Boeing/gazebo_no_physics_plugin,humble,inactive_6mo
gazebo_planar_move_plugin,Boeing,Gazebo plugin for performing planar movements with models. Replaces upstream equivalent to allow additional configuration and better performance.,https://github.com/Boeing/gazebo_planar_move_plugin,102,1,1,0,ros;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,9,123,2017-08-29T03:50:57Z,4,399,0,docs,Organization,102,3,1,C++;Python;CMake,Boeing/gazebo_planar_move_plugin,humble,inactive_6mo
gazebo_set_joint_positions_plugin,Boeing,Gazebo 11 ROS simulation plugin for setting a robot model joint state to the values provided by a JointState ROS message.,https://github.com/Boeing/gazebo_set_joint_positions_plugin,116,3,1,1,ros;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,8,134,2017-08-29T03:50:57Z,5,312,0,docs,Organization,116,2,3,C++;Python;CMake,Boeing/gazebo_set_joint_positions_plugin,humble,inactive_6mo
google_benchmark_vendor,ament,Vendor package for providing Google Benchmark,https://github.com/ament/google_benchmark_vendor,49,1,7,2,,Apache-2.0,False,True,False,False,False,True,good first issue,13,46,2020-07-14T17:28:56Z,0,0,0,code,Organization,49,15,1,CMake,ament/google_benchmark_vendor,humble|jazzy|kilted,inactive_6mo
graph_msgs,PickNikRobotics,ROS messages for publishing graphs of different data types,https://github.com/PickNikRobotics/graph_msgs,22,8,7,0,,,True,False,False,False,False,False,,2,18,2014-04-04T02:07:26Z,1,4,0,docs,Organization,22,19,8,CMake,PickNikRobotics/graph_msgs,humble|jazzy|kilted,inactive_6mo
grasping_msgs,mikeferguson,Messages for describing objects and how to grasp them,https://github.com/mikeferguson/grasping_msgs,10,1,6,0,grasping;manipulation;robotics;ros;ros2,BSD-3-Clause,True,False,False,False,False,False,,2,15,2014-06-07T19:08:43Z,7,138,0,docs,User,10,4,1,CMake,mikeferguson/grasping_msgs,humble|jazzy|kilted,inactive_6mo
grbl_msgs,flynneva,Interfaces for the grbl_ros package,https://github.com/flynneva/grbl_msgs,17,0,1,0,,MIT,True,True,False,False,False,True,good first issue,1,21,2020-09-12T22:34:50Z,1,2,0,docs,User,17,1,0,CMake,flynneva/grbl_msgs,humble|jazzy|kilted,inactive_6mo
grbl_ros,flynneva,ROS2 node for interfacing with a GRBL device,https://github.com/flynneva/grbl_ros,695,20,13,5,cnc;gcode;grbl;robotics;ros;ros2,MIT,True,True,False,False,False,True,good first issue,1,282,2020-07-20T01:57:01Z,11,480,0,config,User,695,3,20,Python,flynneva/grbl_ros,humble|jazzy|kilted,inactive_6mo
