Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_type,owner_type,size,subscribers_count,watchers_count,languages,full_name,distros_present
situational_graphs_datasets,snt-arg,Structured indoors synthetic datset in the form of graphs as a tool for S-graphs,https://github.com/snt-arg/situational_graphs_datasets,198,0,0,0,,GPL-3.0,True,False,False,False,False,True,good first issue,2,27,2023-07-22T15:08:19Z,3,183,0,docs,Organization,198,4,0,Python,snt-arg/situational_graphs_datasets,humble
situational_graphs_msgs,snt-arg,Custom Messages used in S-Graphs,https://github.com/snt-arg/situational_graphs_msgs,18,0,1,0,,GPL-3.0,True,False,False,False,False,True,good first issue,2,11,2024-04-17T06:19:20Z,16,135,0,docs,Organization,18,3,0,CMake,snt-arg/situational_graphs_msgs,humble
situational_graphs_reasoning,snt-arg,Reasoning on S-Graph for the automatic generation of high-level entities,https://github.com/snt-arg/situational_graphs_reasoning,36675,2,1,0,,GPL-3.0,True,False,False,False,False,True,good first issue,3,68,2023-05-05T11:34:12Z,3,183,0,docs,Organization,36675,3,2,Python,snt-arg/situational_graphs_reasoning,humble
situational_graphs_reasoning_msgs,snt-arg,ROS2 messages for reasoning over situational graphs,https://github.com/snt-arg/situational_graphs_reasoning_msgs,40,0,0,0,,GPL-3.0,True,False,False,False,False,True,good first issue,4,26,2022-12-13T17:17:40Z,2,23,0,docs,Organization,40,4,0,CMake,snt-arg/situational_graphs_reasoning_msgs,humble
situational_graphs_wrapper,snt-arg,Graph wrapper for Networkx library as a tool for Sgraphs reasoning stack,https://github.com/snt-arg/situational_graphs_wrapper,49,0,0,0,,GPL-3.0,True,False,False,False,False,True,good first issue,2,19,2023-07-22T15:00:41Z,3,183,0,docs,Organization,49,3,0,Python,snt-arg/situational_graphs_wrapper,humble
slam_toolbox,SteveMacenski,Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,https://github.com/SteveMacenski/slam_toolbox,66772,2298,642,55,,LGPL-2.1,True,False,False,True,False,True,good first issue,74,565,2010-07-16T22:00:36Z,22,1673,0,docs,User,66772,38,2298,C++;CMake;Python;C;Dockerfile,SteveMacenski/slam_toolbox,humble|jazzy|kilted
slg_msgs,ajtudela,This package provides classes and messages to interact with laser related geometry.,https://github.com/ajtudela/slg_msgs,121,3,3,0,geometry;laserscan;ros;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,1,63,2021-07-16T10:49:18Z,2,53,0,code,User,121,1,3,C++;CMake,ajtudela/slg_msgs,humble|jazzy|kilted
slider_publisher,oKermorgant,Generic slider-based GUI to publish any kind of message,https://github.com/oKermorgant/slider_publisher,69,18,9,0,publisher;ros;slider-plugin,MIT,True,False,False,False,False,True,good first issue,1,48,2017-10-15T13:33:05Z,2,22,0,docs,User,69,2,18,Python;CMake,oKermorgant/slider_publisher,humble|jazzy|kilted
snowbot_operating_system,PickNikRobotics,The weather outside is frightful,https://github.com/PickNikRobotics/snowbot_operating_system,29,18,3,2,,BSD-2-Clause,True,False,False,False,False,True,good first issue,1,13,2020-12-06T02:58:49Z,7,329,0,docs,Organization,29,4,18,C++;CMake,PickNikRobotics/snowbot_operating_system,humble|jazzy|kilted
soar_ros,THA-Embedded-Systems-Lab,A ROS 2 package integrating the Soar cognitive architecture into the ROS ecosystem.,https://github.com/THA-Embedded-Systems-Lab/soar_ros,11050,18,6,2,ai;cognitivearchitecture;ros2,Other,True,True,False,False,False,True,good first issue,2,40,2024-09-13T09:26:04Z,44,3002,0,docs,Organization,11050,1,18,C++;Python;CMake;Dockerfile,THA-Embedded-Systems-Lab/soar_ros,humble|jazzy|kilted
soccer_visualization,ijnek,,https://github.com/ijnek/soccer_visualization,141,1,0,1,,Apache-2.0,True,True,False,False,False,True,good first issue,2,29,2021-07-20T07:16:58Z,12,1128,0,docs,User,141,1,1,C++;CMake;Python,ijnek/soccer_visualization,humble
soccer_object_msgs,ijnek,,https://github.com/ijnek/soccer_object_msgs,8941,1,0,1,,Apache-2.0,True,True,False,False,False,True,good first issue,2,64,2021-05-16T03:58:53Z,4,74,0,docs,User,8941,1,1,CMake,ijnek/soccer_object_msgs,humble
sol_vendor,OUXT-Polaris,,https://github.com/OUXT-Polaris/sol_vendor,54,1,0,1,,Apache-2.0,True,True,False,False,False,True,good first issue,5,67,2021-06-02T12:00:22Z,2,202,0,docs,Organization,54,4,1,CMake,OUXT-Polaris/sol_vendor,humble|jazzy|kilted
sophus,clalancette,C++ implementation of Lie Groups using Eigen.,https://github.com/clalancette/sophus,1409,0,3,0,,,True,False,False,False,False,True,good first issue,1,10,2019-10-13T23:27:18Z,1,9,0,docs,User,1409,0,0,,clalancette/sophus,humble|jazzy|kilted
spdlog_vendor,ros2,Vendor package for spdlog,https://github.com/ros2/spdlog_vendor,54,4,11,0,,Apache-2.0,True,True,False,False,False,True,good first issue,14,65,2019-09-24T18:21:28Z,4,303,0,docs,Organization,54,21,4,CMake,ros2/spdlog_vendor,humble|jazzy|kilted
srdfdom,ros-planning,Semantic Robot Description Format,https://github.com/moveit/srdfdom,208,22,74,3,,BSD-3-Clause,True,False,False,False,False,False,,32,201,2012-06-25T21:42:33Z,11,4392,0,docs,Organization,208,23,22,C++;Python;CMake;C;Shell,moveit/srdfdom,humble|jazzy|kilted
stomp,ros-industrial,Stochastic Trajectory Optimization for Motion Planning (STOMP),https://github.com/ros-industrial/stomp,11338,29,9,5,,Apache-2.0,True,True,False,False,False,True,good first issue,21,670,2013-08-27T16:24:14Z,3,208,0,docs,Organization,11338,4,29,C++;Python;CMake;Shell,ros-industrial/stomp,humble|jazzy|kilted
swri_console,swri-robotics,Replacement for rqt_console,https://github.com/swri-robotics/swri_console,2798,57,23,7,,Other,True,False,False,False,False,False,,12,160,2015-09-09T23:46:03Z,17,1020,0,docs,Organization,2798,17,57,C++;Python;CMake,swri-robotics/swri_console,humble|jazzy|kilted
synapticon_ros2_control,synapticon,A ros2_control interface for Synapticon motor drivers,https://github.com/synapticon/synapticon_ros2_control,9093,8,11,11,,MIT,True,False,False,False,False,True,good first issue,5,199,2024-12-09T15:38:54Z,2,79,0,docs,Organization,9093,2,8,C;C++;Python;CMake;Dockerfile;Shell,synapticon/synapticon_ros2_control,humble|jazzy
